id,image_label,tool_label
T1R2B1,sharp,1
T1R2B2,sharp,1
T1R2B3,sharp,1
T1R2B4,sharp,1
T1R3B1,sharp,1
T1R3B2,sharp,1
T1R3B3,sharp,1
T1R3B4,sharp,1
T1R4B1,sharp,1
T1R4B2,sharp,1
T1R4B3,used,1
T1R4B4,sharp,1
T1R5B1,sharp,2
T1R5B2,sharp,2
T1R5B3,used,2
T1R5B4,used,2
T1R6B1,used,2
T1R6B2,sharp,2
T1R6B3,used,2
T1R6B4,used,2
T1R7B1,used,2
T1R7B2,used,2
T1R7B3,used,2
T1R7B4,used,2
T1R8B1,used,2
T1R8B2,used,2
T1R8B3,used,2
T1R8B4,used,2
T1R9B1,used,3
T1R9B2,used,3
T1R9B3,dulled,3
T1R9B4,dulled,3
T1R10B1,dulled,3
T1R10B2,dulled,3
T1R10B3,dulled,3
T1R10B4,dulled,3
T1R11B1,dulled,3
T1R11B2,dulled,3
T1R11B3,dulled,3
T1R11B4,dulled,3
T2R1B1,sharp,1
T2R1B2,sharp,1
T2R1B3,sharp,1
T2R1B4,sharp,1
T2R2B1,sharp,1
T2R2B2,sharp,1
T2R2B3,sharp,1
T2R2B4,sharp,1
T2R3B1,sharp,1
T2R3B2,sharp,1
T2R3B3,sharp,1
T2R3B4,sharp,1
T2R4B1,sharp,1
T2R4B2,sharp,1
T2R4B3,sharp,1
T2R4B4,sharp,1
T2R5B1,sharp,1
T2R5B2,sharp,1
T2R5B3,used,1
T2R5B4,sharp,1
T2R6B1,used,2
T2R6B2,used,2
T2R6B3,used,2
T2R6B4,used,2
T2R7B1,used,2
T2R7B2,used,2
T2R7B3,used,2
T2R7B4,used,2
T2R8B1,used,2
T2R8B2,used,2
T2R8B3,used,2
T2R8B4,used,2
T2R9B1,used,2
T2R9B2,used,2
T2R9B3,used,2
T2R9B4,used,2
T2R11B1,used,2
T2R11B2,used,2
T2R11B3,used,2
T2R11B4,dulled,2
T2R12B1,dulled,3
T2R12B2,dulled,3
T2R12B3,used,3
T2R12B4,dulled,3
T2R13B1,dulled,3
T2R13B2,dulled,3
T2R13B3,dulled,3
T2R13B4,dulled,3
T2R14B1,dulled,3
T2R14B2,dulled,3
T2R14B3,dulled,3
T2R14B4,dulled,3
T2R15B1,dulled,3
T2R15B2,dulled,3
T2R15B3,dulled,3
T2R15B4,dulled,3
T3R1B1,sharp,1
T3R1B2,sharp,1
T3R1B3,sharp,1
T3R1B4,sharp,1
T3R2B1,sharp,1
T3R2B2,sharp,1
T3R2B3,sharp,1
T3R2B4,sharp,1
T3R3B1,sharp,1
T3R3B2,sharp,1
T3R3B3,sharp,1
T3R3B4,sharp,1
T3R4B1,sharp,1
T3R4B2,sharp,1
T3R4B3,sharp,1
T3R4B4,sharp,1
T3R5B1,used,2
T3R5B2,used,2
T3R5B3,used,2
T3R5B4,dulled,2
T3R6B1,dulled,2
T3R6B2,used,2
T3R6B3,used,2
T3R6B4,dulled,2
T3R7B1,dulled,3
T3R7B2,used,3
T3R7B3,used,3
T3R7B4,dulled,3
T3R8B1,dulled,3
T3R8B2,used,3
T3R8B3,used,3
T3R8B4,dulled,3
T3R9B1,dulled,3
T3R9B2,used,3
T3R9B3,used,3
T3R9B4,dulled,3
T3R10B1,dulled,3
T3R10B2,used,3
T3R10B3,dulled,3
T3R10B4,dulled,3
T3R11B1,dulled,3
T3R11B2,dulled,3
T3R11B3,dulled,3
T3R11B4,dulled,3
T3R12B1,dulled,3
T3R12B2,dulled,3
T3R12B3,dulled,3
T3R12B4,dulled,3
T3R13B1,dulled,3
T3R13B2,dulled,3
T3R13B3,dulled,3
T3R13B4,dulled,3
T4R1B1,sharp,1
T4R1B2,sharp,1
T4R1B3,sharp,1
T4R1B4,sharp,1
T4R2B1,sharp,1
T4R2B2,sharp,1
T4R2B3,sharp,1
T4R2B4,sharp,1
T4R3B1,sharp,1
T4R3B2,sharp,1
T4R3B3,sharp,1
T4R3B4,sharp,1
T4R4B1,sharp,1
T4R4B2,sharp,1
T4R4B3,sharp,1
T4R4B4,used,1
T4R5B1,sharp,2
T4R5B2,sharp,2
T4R5B3,used,2
T4R5B4,used,2
T4R10B1,used,3
T4R10B2,dulled,3
T4R10B3,dulled,3
T4R10B4,dulled,3
T4R11B1,dulled,3
T4R11B2,dulled,3
T4R11B3,dulled,3
T4R11B4,dulled,3
T4R12B1,dulled,3
T4R12B2,dulled,3
T4R12B3,dulled,3
T4R12B4,dulled,3
T4R13B1,dulled,3
T4R13B2,dulled,3
T4R13B3,dulled,3
T4R13B4,dulled,3
T4R14B1,dulled,3
T4R14B2,dulled,3
T4R14B3,dulled,3
T4R14B4,dulled,3
T5R1B1,sharp,1
T5R1B2,sharp,1
T5R1B3,sharp,1
T5R1B4,sharp,1
T5R2B1,sharp,1
T5R2B2,sharp,1
T5R2B3,sharp,1
T5R2B4,sharp,1
T5R3B1,used,2
T5R3B2,sharp,2
